firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Raymond James Financial,RJF,"? 39,90,00,000.00","? 31,20,00,000.00","? 1,61,00,00,000.00","? 2,10,70,00,000.00",? 0.00,"? 43,70,00,000.00",,"? 8,70,00,000.00","? 2,23,40,00,000.00","? 1,79,70,00,000.00","? 12,70,00,000.00","? 31,20,00,000.00",14.81%,0.00%,76.41%,21.80%
Raytheon Technologies,RTX,"? 1,47,60,00,000.00","? 1,39,30,00,000.00","? 72,30,00,000.00","? 3,12,80,00,000.00","? 1,85,40,00,000.00","? 1,85,40,00,000.00","? 35,80,00,000.00","? 30,00,000.00","? 16,21,30,00,000.00","? 14,35,90,00,000.00","? 13,08,50,00,000.00","? 1,47,30,00,000.00",44.53%,59.27%,23.11%,5.62%
Raytheon Technologies,RTX,"? 1,43,00,00,000.00","? 1,03,20,00,000.00","? 82,30,00,000.00","? 3,22,60,00,000.00","? 1,82,80,00,000.00","? 1,82,80,00,000.00","? 34,60,00,000.00","? 34,20,00,000.00","? 15,88,00,00,000.00","? 14,05,20,00,000.00","? 12,65,40,00,000.00","? 1,08,80,00,000.00",31.99%,56.66%,25.51%,27.83%
Raytheon Technologies,RTX,"? 1,15,80,00,000.00","? 75,30,00,000.00","? 68,90,00,000.00","? 2,73,40,00,000.00","? 1,54,30,00,000.00","? 1,54,30,00,000.00","? 35,70,00,000.00","? 34,50,00,000.00","? 15,25,10,00,000.00","? 13,70,80,00,000.00","? 12,51,70,00,000.00","? 81,30,00,000.00",27.54%,56.44%,25.20%,34.97%
Raytheon Technologies,RTX,"? 3,70,00,000.00","? 13,50,00,000.00","? 1,06,50,00,000.00","? 2,30,90,00,000.00","? 55,70,00,000.00","? 55,70,00,000.00","? 36,70,00,000.00","? 17,80,00,000.00","? 16,41,90,00,000.00","? 15,86,20,00,000.00","? 14,11,00,00,000.00","? 21,50,00,000.00",5.85%,24.12%,46.12%,-264.86%
Realty Income Corporation,O,"? 14,13,55,000.00","? 13,49,96,000.00","? 2,38,13,000.00","? 46,22,13,000.00","? 23,95,68,000.00","? 23,95,68,000.00","? 7,61,56,000.00","? 60,79,000.00","? 49,18,75,000.00","? 25,23,07,000.00","? 2,96,62,000.00","? 13,52,76,000.00",29.21%,51.83%,5.15%,4.50%
Realty Income Corporation,O,"? 13,39,93,000.00","? 12,44,79,000.00","? 2,18,49,000.00","? 43,25,48,000.00","? 22,29,10,000.00","? 22,29,10,000.00","? 7,36,74,000.00","? 92,25,000.00","? 46,42,82,000.00","? 24,13,72,000.00","? 3,17,34,000.00","? 12,47,68,000.00",28.78%,51.53%,5.05%,7.10%
Realty Income Corporation,O,"? 10,24,61,000.00","? 9,59,40,000.00","? 2,07,96,000.00","? 41,43,05,000.00","? 21,55,24,000.00","? 21,55,24,000.00","? 7,30,75,000.00","? 62,25,000.00","? 44,28,04,000.00","? 22,72,80,000.00","? 2,84,99,000.00","? 9,62,36,000.00",23.16%,52.02%,5.02%,6.36%
Realty Income Corporation,O,"? 12,26,50,000.00","? 11,79,31,000.00","? 1,66,74,000.00","? 39,09,41,000.00","? 19,92,26,000.00","? 19,92,26,000.00","? 7,87,64,000.00","? 45,00,000.00","? 41,80,76,000.00","? 21,88,50,000.00","? 2,71,35,000.00","? 11,81,50,000.00",30.17%,50.96%,4.27%,3.85%
Regency Centers,REG,"? 11,88,48,000.00","? 11,74,06,000.00","? 1,77,89,000.00","? 24,23,71,000.00","? 14,83,11,000.00","? 14,83,11,000.00","? 3,61,48,000.00",? 0.00,"? 32,16,18,000.00","? 17,33,07,000.00","? 7,92,47,000.00","? 11,88,48,000.00",48.44%,61.19%,7.34%,1.21%
Regency Centers,REG,"? 9,68,32,000.00","? 9,54,90,000.00","? 1,91,87,000.00","? 20,55,81,000.00","? 11,10,00,000.00","? 11,10,00,000.00","? 3,59,62,000.00",? 0.00,"? 28,75,94,000.00","? 17,65,94,000.00","? 8,20,13,000.00","? 9,68,32,000.00",46.45%,53.99%,9.33%,1.39%
Regency Centers,REG,"? 8,16,25,000.00","? 8,06,56,000.00","? 2,12,87,000.00","? 20,46,21,000.00","? 10,53,77,000.00","? 10,53,77,000.00","? 3,70,94,000.00",? 0.00,"? 28,63,69,000.00","? 18,09,92,000.00","? 8,17,48,000.00","? 8,16,25,000.00",39.42%,51.50%,10.40%,1.19%
Regency Centers,REG,"? 3,88,61,000.00","? 3,84,87,000.00","? 2,05,12,000.00","? 18,71,45,000.00","? 7,19,22,000.00","? 7,19,22,000.00","? 3,83,01,000.00","? 3,55,000.00","? 26,78,58,000.00","? 19,59,36,000.00","? 8,07,13,000.00","? 3,92,16,000.00",20.57%,38.43%,10.96%,0.96%
Regeneron Pharmaceuticals,REGN,"? 1,81,66,00,000.00","? 1,63,22,00,000.00","? 44,50,00,000.00","? 2,33,42,00,000.00","? 1,84,72,00,000.00","? 1,84,72,00,000.00","? 1,42,00,000.00","? 18,44,00,000.00","? 3,45,28,00,000.00","? 1,60,56,00,000.00","? 1,11,86,00,000.00","? 1,63,22,00,000.00",69.93%,79.14%,19.06%,10.15%
Regeneron Pharmaceuticals,REGN,"? 3,75,28,00,000.00","? 3,09,89,00,000.00","? 41,47,00,000.00","? 3,73,06,00,000.00","? 3,34,72,00,000.00","? 3,34,72,00,000.00","? 1,44,00,000.00","? 65,39,00,000.00","? 5,13,85,00,000.00","? 1,79,13,00,000.00","? 1,40,79,00,000.00","? 3,09,89,00,000.00",83.07%,89.72%,11.12%,17.42%
Regeneron Pharmaceuticals,REGN,"? 1,25,30,00,000.00","? 1,11,52,00,000.00","? 40,56,00,000.00","? 1,47,78,00,000.00","? 1,11,27,00,000.00","? 1,11,27,00,000.00","? 1,46,00,000.00","? 13,78,00,000.00","? 2,52,87,00,000.00","? 1,41,60,00,000.00","? 1,05,09,00,000.00","? 1,11,52,00,000.00",75.46%,75.29%,27.45%,11.00%
Regeneron Pharmaceuticals,REGN,"? 1,22,46,00,000.00","? 1,14,92,00,000.00","? 39,85,00,000.00","? 1,13,86,00,000.00","? 88,53,00,000.00","? 88,53,00,000.00","? 1,48,00,000.00","? 7,54,00,000.00","? 2,23,62,00,000.00","? 1,35,09,00,000.00","? 1,09,76,00,000.00","? 1,14,92,00,000.00",100.93%,77.75%,35.00%,6.16%
Regions Financial Corporation,RF,"? 83,10,00,000.00","? 65,10,00,000.00","? 74,00,00,000.00","? 1,76,70,00,000.00",? 0.00,"? 84,90,00,000.00",,"? 18,00,00,000.00","? 1,76,70,00,000.00","? 91,80,00,000.00",? 0.00,"? 65,10,00,000.00",36.84%,0.00%,41.88%,21.66%
Regions Financial Corporation,RF,"? 1,02,10,00,000.00","? 79,00,00,000.00","? 72,30,00,000.00","? 1,91,90,00,000.00",? 0.00,"? 1,02,30,00,000.00",,"? 23,10,00,000.00","? 1,91,90,00,000.00","? 89,60,00,000.00",? 0.00,"? 79,00,00,000.00",41.17%,0.00%,37.68%,22.62%
Regions Financial Corporation,RF,"? 82,20,00,000.00","? 64,20,00,000.00","? 73,20,00,000.00","? 1,75,00,00,000.00",? 0.00,"? 83,00,00,000.00",,"? 18,00,00,000.00","? 1,75,00,00,000.00","? 92,00,00,000.00",? 0.00,"? 64,20,00,000.00",36.69%,0.00%,41.83%,21.90%
Regions Financial Corporation,RF,"? 73,70,00,000.00","? 61,60,00,000.00","? 74,90,00,000.00","? 1,72,20,00,000.00",? 0.00,"? 78,20,00,000.00",,"? 12,10,00,000.00","? 1,72,20,00,000.00","? 94,00,00,000.00",? 0.00,"? 61,60,00,000.00",35.77%,0.00%,43.50%,16.42%
Republic Services,RSG,"? 47,07,00,000.00","? 35,03,00,000.00","? 29,90,00,000.00","? 1,18,99,00,000.00","? 56,88,00,000.00","? 56,88,00,000.00","? 7,81,00,000.00","? 11,99,00,000.00","? 2,93,39,00,000.00","? 2,36,51,00,000.00","? 1,74,40,00,000.00","? 35,08,00,000.00",29.44%,47.80%,25.13%,25.58%
Republic Services,RSG,"? 42,74,00,000.00","? 33,11,00,000.00","? 29,95,00,000.00","? 1,16,21,00,000.00","? 53,89,00,000.00","? 53,89,00,000.00","? 7,84,00,000.00","? 9,54,00,000.00","? 2,81,28,00,000.00","? 2,27,39,00,000.00","? 1,65,07,00,000.00","? 33,20,00,000.00",28.49%,46.37%,25.77%,22.53%
Republic Services,RSG,"? 40,01,00,000.00","? 29,59,00,000.00","? 26,54,00,000.00","? 1,06,21,00,000.00","? 49,41,00,000.00","? 49,41,00,000.00","? 7,84,00,000.00","? 10,37,00,000.00","? 2,59,64,00,000.00","? 2,10,23,00,000.00","? 1,53,43,00,000.00","? 29,64,00,000.00",27.86%,46.52%,24.99%,26.04%
Republic Services,RSG,"? 20,13,00,000.00","? 23,54,00,000.00","? 34,37,00,000.00","? 1,11,20,00,000.00","? 48,03,00,000.00","? 48,03,00,000.00","? 7,06,00,000.00","? 3,50,00,000.00","? 2,57,32,00,000.00","? 2,09,29,00,000.00","? 1,46,12,00,000.00","? 23,63,00,000.00",21.17%,43.19%,30.91%,-16.94%
ResMed,RMD,"? 25,87,88,000.00","? 20,36,13,000.00","? 17,67,19,000.00","? 51,73,48,000.00","? 26,19,13,000.00","? 26,19,13,000.00","? 53,60,000.00","? 5,51,75,000.00","? 90,40,15,000.00","? 64,21,02,000.00","? 38,66,67,000.00","? 20,36,13,000.00",39.36%,50.63%,34.16%,21.32%
ResMed,RMD,"? 23,92,11,000.00","? 19,51,00,000.00","? 18,14,83,000.00","? 50,17,58,000.00","? 24,16,38,000.00","? 24,16,38,000.00","? 53,45,000.00","? 4,41,11,000.00","? 87,61,03,000.00","? 63,44,65,000.00","? 37,43,45,000.00","? 19,51,00,000.00",38.88%,48.16%,36.17%,18.44%
ResMed,RMD,"? 21,80,05,000.00","? 7,84,81,000.00","? 16,04,46,000.00","? 45,81,82,000.00","? 22,34,26,000.00","? 22,34,26,000.00","? 58,78,000.00","? 29,64,86,000.00","? 76,87,67,000.00","? 54,53,41,000.00","? 31,05,85,000.00","? 7,84,81,000.00",-17.13%,48.76%,35.02%,136.00%
ResMed,RMD,"? 21,05,92,000.00","? 17,95,14,000.00","? 16,94,70,000.00","? 47,88,79,000.00","? 23,56,21,000.00","? 23,56,21,000.00","? 59,24,000.00","? 3,10,78,000.00","? 80,00,11,000.00","? 56,43,90,000.00","? 32,11,32,000.00","? 17,95,14,000.00",37.49%,49.20%,35.39%,14.76%
Robert Half International,RHI,"? 22,76,58,000.00","? 17,08,71,000.00","? 49,55,76,000.00","? 72,53,27,000.00","? 22,91,79,000.00","? 22,91,79,000.00",,"? 5,67,87,000.00","? 1,71,25,66,000.00","? 1,48,33,87,000.00","? 98,72,39,000.00","? 17,08,71,000.00",23.56%,31.60%,68.32%,24.94%
Robert Half International,RHI,"? 20,38,62,000.00","? 14,92,13,000.00","? 48,80,93,000.00","? 66,48,72,000.00","? 17,62,03,000.00","? 17,62,03,000.00","? 1,51,000.00","? 5,46,49,000.00","? 1,58,05,81,000.00","? 1,40,43,78,000.00","? 91,57,09,000.00","? 14,92,13,000.00",22.44%,26.50%,73.41%,26.81%
Robert Half International,RHI,"? 15,01,06,000.00","? 11,05,98,000.00","? 42,30,62,000.00","? 56,17,11,000.00","? 13,80,73,000.00","? 13,80,73,000.00","? 1,51,000.00","? 3,95,08,000.00","? 1,39,83,80,000.00","? 1,26,03,07,000.00","? 83,66,69,000.00","? 11,05,98,000.00",19.69%,24.58%,75.32%,26.32%
Robert Half International,RHI,"? 12,95,85,000.00","? 9,44,16,000.00","? 42,51,62,000.00","? 51,43,27,000.00","? 8,89,48,000.00","? 8,89,48,000.00","? 1,51,000.00","? 3,51,69,000.00","? 1,30,40,86,000.00","? 1,21,51,38,000.00","? 78,97,59,000.00","? 9,44,16,000.00",18.36%,17.29%,82.66%,27.14%
Rockwell Automation,ROK,"? 43,00,000.00","? 7,85,00,000.00","? 46,27,00,000.00","? 71,94,00,000.00","? 25,67,00,000.00","? 25,67,00,000.00","? 2,63,00,000.00","? 7,03,00,000.00","? 1,80,78,00,000.00","? 1,55,11,00,000.00","? 1,08,84,00,000.00","? 7,46,00,000.00",10.91%,35.68%,64.32%,-1725.58%
Rockwell Automation,ROK,"? 31,35,00,000.00","? 27,13,00,000.00","? 47,16,00,000.00","? 76,44,00,000.00","? 29,28,00,000.00","? 29,28,00,000.00","? 2,24,00,000.00","? 4,45,00,000.00","? 1,84,82,00,000.00","? 1,55,54,00,000.00","? 1,08,38,00,000.00","? 26,90,00,000.00",35.49%,38.30%,61.70%,13.46%
Rockwell Automation,ROK,"? 50,77,00,000.00","? 41,50,00,000.00","? 42,88,00,000.00","? 76,74,00,000.00","? 33,86,00,000.00","? 33,86,00,000.00","? 2,33,00,000.00","? 9,74,00,000.00","? 1,77,61,00,000.00","? 1,43,75,00,000.00","? 1,00,87,00,000.00","? 41,03,00,000.00",54.08%,44.12%,55.88%,18.26%
Rockwell Automation,ROK,"? 70,07,00,000.00","? 59,33,00,000.00","? 38,20,00,000.00","? 64,65,00,000.00","? 26,45,00,000.00","? 26,45,00,000.00","? 2,26,00,000.00","? 11,03,00,000.00","? 1,56,53,00,000.00","? 1,30,08,00,000.00","? 91,88,00,000.00","? 59,04,00,000.00",91.77%,40.91%,59.09%,15.33%
Rollins,ROL,"? 12,70,72,000.00","? 9,38,53,000.00","? 19,42,61,000.00","? 34,47,25,000.00","? 12,68,47,000.00","? 12,68,47,000.00","? 2,22,000.00","? 3,32,19,000.00","? 65,01,99,000.00","? 52,33,52,000.00","? 30,54,74,000.00","? 9,38,53,000.00",27.23%,36.80%,56.35%,26.14%
Rollins,ROL,"? 13,39,39,000.00","? 9,88,54,000.00","? 18,34,82,000.00","? 34,03,42,000.00","? 13,35,54,000.00","? 13,35,54,000.00","? 5,06,000.00","? 3,50,85,000.00","? 63,82,04,000.00","? 50,46,50,000.00","? 29,78,62,000.00","? 9,88,54,000.00",29.05%,39.24%,53.91%,26.19%
Rollins,ROL,"? 11,98,52,000.00","? 9,26,43,000.00","? 16,22,08,000.00","? 27,40,02,000.00","? 8,81,98,000.00","? 8,81,98,000.00","? 6,06,000.00","? 2,72,09,000.00","? 53,55,54,000.00","? 44,73,56,000.00","? 26,15,52,000.00","? 9,26,43,000.00",33.81%,32.19%,59.20%,22.70%
Rollins,ROL,"? 8,68,98,000.00","? 6,26,19,000.00","? 15,90,86,000.00","? 26,99,48,000.00","? 8,84,59,000.00","? 8,84,59,000.00","? 5,91,000.00","? 2,42,79,000.00","? 53,62,92,000.00","? 44,78,33,000.00","? 26,63,44,000.00","? 6,26,19,000.00",23.20%,32.77%,58.93%,27.94%
Roper Technologies,ROP,"? 34,36,00,000.00","? 28,95,00,000.00","? 59,26,00,000.00","? 99,61,00,000.00","? 40,35,00,000.00","? 40,35,00,000.00","? 5,82,00,000.00","? 8,38,00,000.00","? 1,46,28,00,000.00","? 1,05,93,00,000.00","? 46,67,00,000.00","? 25,98,00,000.00",29.06%,40.51%,59.49%,15.75%
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Roper Technologies,ROP,"? 36,69,00,000.00","? 28,90,00,000.00","? 59,33,00,000.00","? 99,38,00,000.00","? 40,05,00,000.00","? 40,05,00,000.00","? 6,06,00,000.00","? 7,79,00,000.00","? 1,52,86,00,000.00","? 1,12,81,00,000.00","? 53,48,00,000.00","? 28,90,00,000.00",29.08%,40.30%,59.70%,21.23%
Roper Technologies,ROP,"? 31,75,00,000.00","? 25,58,00,000.00","? 15,34,00,000.00","? 96,66,00,000.00","? 36,71,00,000.00","? 36,71,00,000.00","? 6,37,00,000.00","? 6,17,00,000.00","? 1,50,53,00,000.00","? 1,13,82,00,000.00","? 53,87,00,000.00","? 25,58,00,000.00",26.46%,37.98%,15.87%,19.43%
Ross Stores,ROST,"? 65,76,08,000.00","? 49,42,58,000.00","? 71,77,88,000.00","? 1,39,41,03,000.00","? 67,63,15,000.00","? 67,63,15,000.00","? 1,89,06,000.00","? 16,33,50,000.00","? 4,80,49,74,000.00","? 4,12,86,59,000.00","? 3,41,08,71,000.00","? 49,42,58,000.00",35.45%,48.51%,51.49%,24.84%
Ross Stores,ROST,"? 62,35,82,000.00","? 47,64,79,000.00","? 67,50,53,000.00","? 1,31,76,84,000.00","? 64,26,31,000.00","? 64,26,31,000.00","? 1,92,85,000.00","? 14,71,03,000.00","? 4,51,60,80,000.00","? 3,87,34,49,000.00","? 3,19,83,96,000.00","? 47,64,79,000.00",36.16%,48.77%,51.23%,23.59%
Ross Stores,ROST,"? 38,28,51,000.00","? 23,79,80,000.00","? 1,29,19,99,000.00","? 1,93,40,02,000.00","? 64,20,03,000.00","? 64,20,03,000.00","? 1,93,80,000.00","? 14,48,71,000.00","? 4,24,96,71,000.00","? 3,60,76,68,000.00","? 2,31,56,69,000.00","? 23,79,80,000.00",12.31%,33.20%,66.80%,37.84%
Ross Stores,ROST,"? 13,64,93,000.00","? 13,11,97,000.00","? 87,78,57,000.00","? 1,04,30,90,000.00","? 16,52,33,000.00","? 16,52,33,000.00","? 2,90,70,000.00","? 52,96,000.00","? 3,75,45,09,000.00","? 3,58,92,76,000.00","? 2,71,14,19,000.00","? 13,11,97,000.00",12.58%,15.84%,84.16%,3.88%
Royal Caribbean Group,RCL,"? 1,42,45,54,000.00","? 1,42,45,54,000.00","? 33,04,72,000.00","? 34,96,83,000.00","? 1,00,60,62,000.00","? 1,00,60,62,000.00","? 43,06,61,000.00",? 0.00,"? 45,69,58,000.00","? 1,46,30,20,000.00","? 80,66,41,000.00","? 1,42,45,54,000.00",407.38%,287.71%,-94.51%,0.00%
Royal Caribbean Group,RCL,"? 1,34,72,55,000.00","? 1,34,72,55,000.00","? 29,03,69,000.00","? 36,91,05,000.00","? 98,29,13,000.00","? 98,29,13,000.00","? 30,48,11,000.00",? 0.00,"? 5,09,14,000.00","? 1,03,38,27,000.00","? 42,00,19,000.00","? 1,34,72,55,000.00",365.01%,266.30%,-78.67%,0.00%
Royal Caribbean Group,RCL,"? 1,13,17,22,000.00","? 1,13,17,22,000.00","? 26,31,71,000.00","? 23,63,43,000.00","? 80,96,80,000.00","? 80,96,80,000.00","? 27,25,14,000.00",? 0.00,"? 4,20,14,000.00","? 85,16,94,000.00","? 27,83,57,000.00","? 1,13,17,22,000.00",478.85%,342.59%,-111.35%,0.00%
Royal Caribbean Group,RCL,"? 1,38,19,35,000.00","? 1,36,69,35,000.00","? 25,13,49,000.00","? 23,53,06,000.00","? 80,46,83,000.00","? 80,46,83,000.00","? 27,30,89,000.00","? 1,50,00,000.00","? 3,41,38,000.00","? 83,88,21,000.00","? 26,94,44,000.00","? 1,36,69,35,000.00",580.92%,341.97%,-106.82%,1.09%
S&P Global,SPGI,"? 1,07,40,00,000.00","? 79,70,00,000.00","? 35,80,00,000.00","? 1,54,40,00,000.00","? 1,14,50,00,000.00","? 1,14,50,00,000.00","? 3,10,00,000.00","? 21,30,00,000.00","? 2,08,70,00,000.00","? 94,20,00,000.00","? 54,30,00,000.00","? 86,10,00,000.00",51.62%,74.16%,23.19%,25.79%
S&P Global,SPGI,"? 1,14,40,00,000.00","? 79,80,00,000.00","? 31,00,00,000.00","? 1,57,30,00,000.00","? 1,21,80,00,000.00","? 1,21,80,00,000.00","? 3,20,00,000.00","? 28,70,00,000.00","? 2,10,60,00,000.00","? 88,80,00,000.00","? 53,30,00,000.00","? 85,70,00,000.00",50.73%,77.43%,19.71%,30.24%
S&P Global,SPGI,"? 1,05,60,00,000.00","? 75,50,00,000.00","? 29,80,00,000.00","? 1,48,90,00,000.00","? 1,14,10,00,000.00","? 1,14,10,00,000.00","? 3,20,00,000.00","? 24,80,00,000.00","? 2,01,60,00,000.00","? 87,50,00,000.00","? 52,70,00,000.00","? 80,80,00,000.00",50.71%,76.63%,20.01%,28.50%
S&P Global,SPGI,"? 64,00,00,000.00","? 45,40,00,000.00","? 38,40,00,000.00","? 1,30,80,00,000.00","? 87,20,00,000.00","? 87,20,00,000.00","? 3,20,00,000.00","? 13,50,00,000.00","? 1,86,70,00,000.00","? 99,50,00,000.00","? 55,90,00,000.00","? 50,50,00,000.00",34.71%,66.67%,29.36%,29.06%
Salesforce,CRM,"? 82,60,00,000.00","? 53,50,00,000.00","? 3,32,10,00,000.00","? 4,72,70,00,000.00","? 38,60,00,000.00","? 38,60,00,000.00","? 4,10,00,000.00","? 29,10,00,000.00","? 6,34,00,00,000.00","? 5,95,40,00,000.00","? 1,61,30,00,000.00","? 53,50,00,000.00",11.32%,8.17%,70.26%,35.23%
Salesforce,CRM,"? 60,40,00,000.00","? 46,90,00,000.00","? 3,10,30,00,000.00","? 4,40,80,00,000.00","? 35,40,00,000.00","? 35,40,00,000.00","? 3,40,00,000.00","? 13,50,00,000.00","? 5,96,30,00,000.00","? 5,60,90,00,000.00","? 1,55,50,00,000.00","? 46,90,00,000.00",10.64%,8.03%,70.39%,22.35%
Salesforce,CRM,"? 42,50,00,000.00","? 26,70,00,000.00","? 3,20,60,00,000.00","? 4,33,80,00,000.00","? 19,30,00,000.00","? 19,30,00,000.00","? 10,20,00,000.00","? 15,80,00,000.00","? 5,81,70,00,000.00","? 5,62,40,00,000.00","? 1,47,90,00,000.00","? 26,70,00,000.00",6.15%,4.45%,73.91%,37.18%
Salesforce,CRM,"? 1,25,00,00,000.00","? 1,08,10,00,000.00","? 2,89,90,00,000.00","? 4,02,50,00,000.00","? 22,40,00,000.00","? 22,40,00,000.00","? 2,90,00,000.00","? 16,90,00,000.00","? 5,41,90,00,000.00","? 5,19,50,00,000.00","? 1,39,40,00,000.00","? 1,08,10,00,000.00",26.86%,5.57%,72.02%,13.52%
SBA Communications,SBAC,"? 3,69,64,000.00","? 4,77,98,000.00","? 5,07,71,000.00","? 44,35,52,000.00","? 22,12,29,000.00","? 22,12,29,000.00","? 10,59,53,000.00","? 1,08,34,000.00","? 58,93,05,000.00","? 36,80,76,000.00","? 14,57,53,000.00","? 4,77,98,000.00",10.78%,49.88%,11.45%,-29.31%
SBA Communications,SBAC,"? 19,99,19,000.00","? 15,26,69,000.00","? 5,37,10,000.00","? 43,29,75,000.00","? 20,32,39,000.00","? 20,32,39,000.00","? 10,72,21,000.00","? 4,72,50,000.00","? 57,55,28,000.00","? 37,22,89,000.00","? 14,25,53,000.00","? 15,26,69,000.00",35.26%,46.94%,12.40%,23.63%
SBA Communications,SBAC,"? 3,26,67,000.00","? 1,17,45,000.00","? 5,13,81,000.00","? 41,39,64,000.00","? 17,80,62,000.00","? 17,80,62,000.00","? 10,67,90,000.00","? 2,09,22,000.00","? 54,87,39,000.00","? 37,06,77,000.00","? 13,47,75,000.00","? 1,17,45,000.00",-2.84%,43.01%,12.41%,64.05%
SBA Communications,SBAC,"? 14,05,33,000.00","? 10,57,82,000.00","? 4,71,92,000.00","? 40,38,91,000.00","? 17,59,20,000.00","? 17,59,20,000.00","? 10,31,96,000.00","? 3,43,47,000.00","? 53,59,07,000.00","? 35,99,87,000.00","? 13,20,16,000.00","? 10,61,86,000.00",26.19%,43.56%,11.68%,24.73%
Schlumberger,SLB,"? 69,10,00,000.00","? 55,00,00,000.00","? 8,00,00,000.00","? 98,50,00,000.00","? 76,50,00,000.00","? 76,50,00,000.00","? 13,00,00,000.00","? 12,90,00,000.00","? 5,84,70,00,000.00","? 5,08,20,00,000.00","? 4,86,20,00,000.00","? 56,20,00,000.00",55.84%,77.66%,8.12%,20.41%
Schlumberger,SLB,"? 54,20,00,000.00","? 43,10,00,000.00","? 7,00,00,000.00","? 86,60,00,000.00","? 66,20,00,000.00","? 66,20,00,000.00","? 13,60,00,000.00","? 9,90,00,000.00","? 5,63,40,00,000.00","? 4,97,20,00,000.00","? 4,76,80,00,000.00","? 44,30,00,000.00",49.77%,76.44%,8.08%,20.48%
Schlumberger,SLB,"? 38,60,00,000.00","? 29,90,00,000.00","? 8,10,00,000.00","? 71,90,00,000.00","? 50,30,00,000.00","? 50,30,00,000.00","? 13,60,00,000.00","? 7,40,00,000.00","? 5,22,30,00,000.00","? 4,72,00,00,000.00","? 4,50,40,00,000.00","? 31,20,00,000.00",41.59%,69.96%,11.27%,22.54%
Schlumberger,SLB,"? 47,10,00,000.00","? 37,40,00,000.00","? 7,20,00,000.00","? 70,40,00,000.00","? 50,40,00,000.00","? 50,40,00,000.00","? 14,40,00,000.00","? 8,90,00,000.00","? 5,53,20,00,000.00","? 5,02,80,00,000.00","? 4,82,80,00,000.00","? 38,20,00,000.00",53.13%,71.59%,10.23%,20.59%
Seagate Technology,STX,"? 53,30,00,000.00","? 52,60,00,000.00","? 13,30,00,000.00","? 95,60,00,000.00","? 58,70,00,000.00","? 58,70,00,000.00","? 5,90,00,000.00","? 70,00,000.00","? 3,11,50,00,000.00","? 2,52,80,00,000.00","? 2,15,90,00,000.00","? 52,60,00,000.00",55.02%,61.40%,13.91%,1.31%
Seagate Technology,STX,"? 49,70,00,000.00","? 48,20,00,000.00","? 13,60,00,000.00","? 88,50,00,000.00","? 51,40,00,000.00","? 51,40,00,000.00","? 5,90,00,000.00","? 1,50,00,000.00","? 3,01,30,00,000.00","? 2,49,90,00,000.00","? 2,12,80,00,000.00","? 48,20,00,000.00",54.46%,58.08%,15.37%,3.02%
Seagate Technology,STX,"? 33,90,00,000.00","? 32,90,00,000.00","? 12,60,00,000.00","? 74,00,00,000.00","? 38,40,00,000.00","? 38,40,00,000.00","? 5,90,00,000.00","? 1,00,00,000.00","? 2,73,10,00,000.00","? 2,34,70,00,000.00","? 1,99,10,00,000.00","? 32,90,00,000.00",44.46%,51.89%,17.03%,2.95%
Seagate Technology,STX,"? 29,10,00,000.00","? 28,00,00,000.00","? 12,20,00,000.00","? 69,60,00,000.00","? 35,00,00,000.00","? 35,00,00,000.00","? 5,20,00,000.00","? 1,10,00,000.00","? 2,62,30,00,000.00","? 2,27,30,00,000.00","? 1,92,70,00,000.00","? 28,00,00,000.00",40.23%,50.29%,17.53%,3.78%
Sealed Air,SEE,"? 15,44,00,000.00","? 10,77,00,000.00","? 18,96,00,000.00","? 40,37,00,000.00","? 20,44,00,000.00","? 20,44,00,000.00","? 4,44,00,000.00","? 4,66,00,000.00","? 1,40,67,00,000.00","? 1,20,23,00,000.00","? 1,00,30,00,000.00","? 10,78,00,000.00",26.68%,50.63%,46.97%,30.25%
Sealed Air,SEE,"? 15,44,00,000.00","? 10,81,00,000.00","? 19,06,00,000.00","? 40,07,00,000.00","? 20,04,00,000.00","? 20,04,00,000.00","? 4,41,00,000.00","? 4,58,00,000.00","? 1,32,85,00,000.00","? 1,12,81,00,000.00","? 92,78,00,000.00","? 10,86,00,000.00",26.98%,50.01%,47.57%,29.99%
Sealed Air,SEE,"? 16,04,00,000.00","? 11,01,00,000.00","? 18,77,00,000.00","? 40,11,00,000.00","? 20,37,00,000.00","? 20,37,00,000.00","? 4,51,00,000.00","? 5,46,00,000.00","? 1,26,71,00,000.00","? 1,06,34,00,000.00","? 86,60,00,000.00","? 10,58,00,000.00",27.45%,50.79%,46.80%,31.36%
Sealed Air,SEE,"? 18,49,00,000.00","? 14,22,00,000.00","? 19,50,00,000.00","? 42,44,00,000.00","? 21,99,00,000.00","? 21,99,00,000.00","? 4,61,00,000.00","? 4,74,00,000.00","? 1,34,09,00,000.00","? 1,12,10,00,000.00","? 91,65,00,000.00","? 13,75,00,000.00",33.51%,51.81%,45.95%,23.09%
